Identificador,Plantel
3847,073-PREPARATORIA REGIONAL DE ECATEPEC
3848,"074-PREPARATORIA COLEGIO ""ARGOS"""
3849,075-PREPARATORIA REGIONAL DE TEJUPILCO
3850,076-PREPARATORIA REGIONAL DE VILLA VICTORIA
3851,077-PREPARATORIA REGIONAL DE ACAMBAY
3852,078-PREPARATORIA REGIONAL DE HUIXQUILUCAN
3853,079-PREPARATORIA REGIONAL DE VILLA DEL CARBON
3854,080-PREPARATORIA REGIONAL DE SANTIAGO TIANGUISTENCO
3855,082-INSTITUTO ETAC LOMAS LINDAS. A.C.
3856,083-COLEGIO SPRINGFIELD CAMPUS TOLUCA. S.C.
3857,084-INSTITUTO CENCA. S.C.
3858,"085-INSTITUTO DE ESTUDIOS SUPERIORES ""ISIDRO FABELA..."
3859,086-CENTRO UNIVERSITARIO SIGLO XXI. S.C.
3860,087-INSTITUTO CULTURAL PANAMERICANO DE TOLUCA S.C.
3861,"088-ATENEO ""DOCTOR GUSTAVO BAZ PRADA"""
3862,089-INSTITUTO PARA LA EDUCACION INTEGRAL DEL BACHIL...
3863,"090-""CENTRO UNIVERSITARIO DIDASKALOS"". A.C."
3864,091-ESCUELA PREPARATORIA DE LA UNIVERSIDAD DE IXTLA...
3865,092-CENTRO DE ESTUDIOS SUPERIORES UNIVERSITARIOS. S.C.
3866,093-UNIVERSIDAD HISPANOAMERICANA
3867,094-UNIVERSIDAD IUEM. S.C.
3868,095-COLEGIO COLUMBIA
3869,"096-""ESCUELA DE ENFERMERIA OKAYAMA"""
3870,097-COLEGIO ANTONIO PLANCARTE. A.C.
3871,098-CENTRO EDUCATIVO Y TECNOLOGICO TOLLOCAN. S.C.
3872,099-INSTITUTO SECUNDARIA Y EDUCACION  SUBPROFESIONA...
3873,100-INSTITUTO UNIVERSITARIO DEL TERCER MILENIO. S.C.
3874,101-UNIVERSIDAD MEXIQUENSE. S.C.
3875,102-PREPARATORIA KIOTO
3876,103-INSTITUTO TENANCINGO. A.C.
3877,104-CAMPUS UNIVERSITARIO SIGLO XXI. S.C.
3878,105-UNIVERSIDAD DEL MEXICO CONTEMPORANEO
3879,106-CENTRO UNIVERSITARIO DE TENANGO DEL VALLE. A.C.
3880,107-UNIDAD PEDAGOGICA ARISTOS. S.C.
3881,108-INSTITUTO UNIVERSITARIO FRANCO INGLES DE MEXICO...
3882,109-INSTITUTO MILENIUM. S.C.
3883,"110-CENTRO DE ESTUDIOS UNIVERSITARIOS ""HORACIO ZUÑI..."
3884,111-INSTITUTO UNIVERSITARIO DEL LAGO Y DEL SOL. S.C.
3885,113-CENTRO UNIVERSITARIO MESOAMERICANO. S.C.
3886,114-COLEGIO CEMANQUI
3887,115-INSTITUTO LATINO
3888,"116-PREPARATORIA ""JOSE ANTONIO ALZATE Y RAMIREZ"""
3889,117-PREPARATORIA CENTRO EDUCATIVO NIÑOS HEROES. A.C.
3890,118-COLEGIO DE LA COMUNIDAD DE CD. NEZAHUALCOYOTL. ...
3891,119-PREPARATORIA REGIONAL DE TENANGO DEL VALLE. A.C.
